Parameters at start of epoch																													
	Epoch			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
	Treasury in DAI Calc			seed-mint	2	2	5002	5776.219487	6670.274204	7702.712483	8894.953609	10271.73218	11861.61128	13697.57501	15817.71286	18266.00985	21093.2591	24358.11561	28128.31309	32482.06921	37509.70835	43315.53546	50020	57762.19488	66702.74204	77027.12484	88949.5361	102717.3218	118616.1128
																													
	Staking rewards paid last epoch			0	0	0	0	57.94219487	67.46216399	78.46116842	91.16819136	105.847659	122.8049265	142.3926132	165.0179177	191.1510668	221.33507	256.1969858	296.4609304	342.963101	396.6691234	458.6940857	530.325672	613.0508775	708.5868579	818.9165544	946.3298326	1093.470988	1263.393607
																													
	Total locked staked temple (inc rewards)			0	0	0	5000	5774.219487	6668.274204	7700.712483	8892.953609	10269.73218	11859.61128	13695.57501	15815.71286	18264.00985	21091.2591	24356.11561	28126.31309	32480.06921	37507.70835	43313.53546	50018	57760.19488	66700.74204	77025.12484	88947.5361	102715.3218	118614.1128
	Total no-lock staked temple (inc rewards)			0	20	20	20	77.94219487	145.4043589	223.8655273	315.0337186	420.8813777	543.6863042	686.0789173	851.0968351	1042.247902	1263.582972	1519.779958	1816.240888	2159.203989	2555.873113	3014.567198	3544.89287	4157.943748	4866.530606	5685.44716	6631.776993	7725.247981	8988.641588
	Total temple in staking pool (unearned)			0	0	0	15750	18130.84919	20879.65938	24053.3788	27717.77015	31948.775	36834.08922	42474.98237	48988.39866	56509.38311	65193.8832	75221.98421	86801.64534	100173.014	115613.4082	133443.0695	154031.8071	177806.6701	205260.8068	236963.6961	273572.9617	315848.0158	364665.8136
	Total temple in LP pool (unearned)			0	0	0	6750	7795.196308	9002.170175	10395.96185	12005.48737	13864.13845	16010.47522	18489.02626	21351.21236	24656.41329	28473.19979	32880.75607	37970.52267	43848.09344	50635.40628	58473.27287	67524.3	77976.26308	90046.00175	103983.9185	120079.1737	138665.6845	160129.0522
	Total temple in bonus pool (unearned)			0	0	0	13500	15590.39262	18004.34035	20791.92371	24010.97474	27728.27689	32020.95045	36978.05253	42702.42471	49312.82658	56946.39958	65761.51215	75941.04534	87696.18687	101270.8126	116946.5457	135048.6	155952.5262	180092.0035	207967.8371	240158.3475	277331.3689	320258.1045
	Total temple in team pool			0	0	0	9000	10393.59508	12002.89357	13861.28247	16007.3165	18485.51793	21347.3003	24652.03502	28468.28314	32875.21772	37964.26638	43841.0081	50627.36356	58464.12458	67513.87503	77964.36382	90032.4	103968.3508	120061.3357	138645.2247	160105.565	184887.5793	213505.403
																													
Actions by user																													
	DAI inflow from regular stake			2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	DAI from minty steak			0	0	5000	774.2194874	894.0547163	1032.43828	1192.241126	1376.778573	1589.879093	1835.963735	2120.137846	2448.296989	2827.249256	3264.856507	3770.197477	4353.756126	5027.63914	5805.827104	6704.464546	7742.194875	8940.547163	10324.3828	11922.41126	13767.78573	15898.79094	18359.63735
																													
	DAI inflow from investments 			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																													
	Temple minted for AMM			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Treasury DAI to AMM			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																													
	Temple entering unstake queue			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Temple withdrawn from unstake queue (excel assumes immediate)			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
